duration,file_size,durationSecs,rscore,adult,bulk,impostor,lowpriority,malware,mlx,mlxlog,phish,sn,spam,suspect,unknownsender,engine,overall,msgSizeBytes,detectedSizeBytes,sizeDecodedBytes,structureId,rcpts,sender,filter_score,linecount,sizeBytes,size,timeendpos,timestartpos,isPhish
0.179066,27788.0,0.179066,16.0,0.0,0.0,0.0,0.0,0.0,100.0,-1000.0,100.0,1.0,100.0,0.0,20.0,100.0,100.0,41180.0,27788.0,27788.0,0.0,0.0,0.0,100.0,1.0,38859.0,38859.0,1878.0,1847.0,2.0
0.205819,1.0,0.205819,100.0,0.0,1.0,1.0,1.0,0.0,99.0,-295.0,99.0,1.0,99.0,0.0,1.0,99.0,99.0,5232.0,1.0,1.0,1.0,0.0,0.0,99.0,1.0,5208.0,5208.0,39.0,8.0,2.0
0.160334,27788.0,0.160334,49.0,0.0,0.0,0.0,0.0,0.0,100.0,-1000.0,100.0,1.0,100.0,0.0,20.0,100.0,100.0,41193.0,27788.0,27788.0,0.0,0.0,0.0,100.0,1.0,38866.0,38866.0,3739.0,3708.0,2.0
0.255385,27788.0,0.255385,49.0,0.0,0.0,0.0,0.0,0.0,100.0,-1000.0,100.0,1.0,100.0,0.0,20.0,100.0,100.0,41221.0,27788.0,27788.0,0.0,0.0,0.0,100.0,1.0,38890.0,38890.0,3787.0,3756.0,2.0
0.277838,1.0,0.277838,16.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,100.0,31.0,0.0,0.0,20.0,100.0,100.0,9376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7255.0,7255.0,3615.0,3584.0,2.0
0.206158,1.0,0.206158,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-230.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8554.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6247.0,6247.0,39.0,8.0,2.0
0.153378,1.0,0.153378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,100.0,46.0,0.0,0.0,20.0,100.0,100.0,18596.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,17264.0,17264.0,5587.0,5556.0,2.0
0.124225,1200.0,0.124225,1.0,0.0,0.0,0.0,0.0,0.0,100.0,-1000.0,100.0,1.0,100.0,0.0,20.0,100.0,100.0,5446.0,1200.0,1200.0,0.0,0.0,0.0,100.0,1.0,3676.0,3676.0,927.0,896.0,2.0
0.236052,1.0,0.236052,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-264.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8552.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6247.0,6247.0,3425.0,3394.0,2.0
0.181348,1.0,0.181348,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,78.0,0.0,0.0,20.0,100.0,100.0,8913.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7087.0,7087.0,1827.0,1796.0,2.0
0.145026,1.0,0.145026,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-211.0,100.0,1.0,0.0,0.0,20.0,99.0,99.0,8588.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6274.0,6274.0,2995.0,2964.0,2.0
